index,index,group,energ_kcal,lipid_tot,carbohydrt,protein,name
30,171,3.0,546.0,61.17,31.28,4.88,"CHOCOLATE, SEMI AMARGO"
31,172,3.0,517.13,45.63,36.33,6.42,"CHOCOLATE, SIN AZUCAR, EN POLVO O MACIZO"
32,173,3.0,516.57,61.11,27.77,5.55,"CHOCOLATE, TIPO NUTELA"
33,174,3.0,136.45,17.39,5.05,5.36,CHONGOS ZAMORANOS
34,175,3.0,284.84,42.98,13.16,1.74,COCADA
35,176,3.0,228.0,57.9,13.7,19.6,"COCOA, EN POLVO"
36,177,3.0,257.0,12.49,22.22,3.2,CREMA CHANTILLY
37,178,3.0,220.6,44.81,4.39,0.93,"CREMA DE COCO, INDUSTRIALIZADA (PARA HACER POSTRES Y BEBIDAS)"
38,179,3.0,292.62,24.66,19.11,7.38,"CREPA DE NUTELLA CON NUEZ, PREPARACION ESTANDARIZADA"
39,180,3.0,248.03,29.91,11.53,5.99,"CREPA DE NUTELLA, PREPARACION ESTANDARIZADA"
40,181,3.0,203.93,25.8,9.44,4.98,"CREPA DULCE (TODOS SABORES), PREPARACION ESTANDARIZADA"
41,182,3.0,122.0,30.74,0.29,1.02,"DULCE DE CHABACANO, PREPARACION ESTANDARIZADA"
42,183,3.0,535.36,67.94,27.56,0.65,"DULCE DE CHOCOLATE, DUVALIN (TODOS SABORES)"
43,184,3.0,377.0,78.0,5.0,5.0,"DULCE DE LECHE, INDUSTRIALIZADO"
44,185,3.0,123.48,22.97,2.52,2.5,"DULCE DE LECHE, PREPARACION ESTANDARIZADA"
45,186,3.0,373.74,90.59,0.8,1.19,"DULCE DE TAMARINDO EN PASTA (TIPO PELÓN, BOMBAZO)"
46,187,3.0,182.38,47.37,0.24,1.08,"DULCE DE TAMARINDO, TARUGO O BANDERILLA"
47,188,3.0,358.46,88.13,0.02,0.02,"DULCE, MACIZO (PALETAS, REDONDOS, SALVAVIDAS, HALLS)"
48,189,3.0,397.0,91.56,3.33,0.03,"DULCE, TIPO CHICLOSOS"
49,190,3.0,313.16,42.0,13.9,5.32,"EMPANADA DE ARROZ CON LECHE, PREPARACION ESTANDARIZADA"
50,191,3.0,365.65,52.75,15.11,5.17,"EMPANADA DULCE, PREPARACION ESTANDARIZADA"
51,192,3.0,0.0,100.0,0.0,0.0,ERITRITOL (LIVANA)
52,193,3.0,400.0,98.0,0.0,0.0,ESTEVIA (CANDEREL-STEVIA) C/AZÚCAR-SUCRALOSA
53,194,3.0,0.0,100.0,0.0,0.0,ESTEVIA (NATURAL FIT)
54,195,3.0,0.0,100.0,0.0,0.0,ESTEVIA (NUTRA LIGHT)
55,196,3.0,0.0,100.0,0.0,0.0,ESTEVIA (SPLENDA NATURALS)
56,197,3.0,0.0,95.0,0.0,0.0,ESTEVIA-SACAROSA (STEVIEN)
57,198,3.0,103.09,17.53,2.15,3.48,FLAN O GELATINA (PROMEDIO)
58,199,3.0,99.47,15.75,2.79,2.91,"FLAN PREPARADO, INDUSTRIALIZADO"
59,200,3.0,253.06,45.94,4.82,6.68,"FLAN, PREPARACION ESTANDARIZADA"
60,201,3.0,177.52,13.35,13.4,1.64,"FRESAS CON CREMA, PREPARACION ESTANDARIZADA"
61,202,3.0,143.25,22.43,6.21,1.43,"FRUTA CON CREMA Y AZUCAR (EXCEPTO FRESAS), PREPARACION ESTANDARIZADA"
62,203,3.0,220.51,25.94,11.64,3.4,"FRUTA CUBIERTA DE CHOCOLATE, PREPARACION ESTANDARIZADA"
63,204,3.0,7.17,1.41,0.05,0.27,"GELATINA CON AGUA, PREPARACION ESTANDARIZADA"
64,205,3.0,116.47,17.7,3.13,4.33,"GELATINA DE LECHE PREPARADA, INDUSTRIALIZADA"
65,206,3.0,60.24,5.68,2.83,3.0,"GELATINA DE LECHE, PREPARACION ESTANDARIZADA"
66,207,3.0,19.09,0.9,0.9,1.81,"GELATINA LIGHT PREPARADA, INDUSTRIALIZADA"
67,208,3.0,198.0,80.21,0.0,15.67,"GELATINA LIGHT, EN POLVO"
68,209,3.0,58.36,11.45,0.41,2.23,GELATINA EN POLVO
69,210,3.0,324.29,75.29,0.17,0.0,"GOMA DE MASCAR, CON AZUCAR TIPO BOMBIUX O BUBBALOO"
70,211,3.0,296.16,72.8,0.0,0.0,GOMA DE MASCAR (PROMEDIO)
71,212,3.0,0.0,0.0,0.0,0.0,GOMA DE MASCAR SIN AZ�CAR (TIPO TRIDENT)
72,213,3.0,340.0,81.27,0.0,3.64,GOMITAS CUBIERTAS DE AZUCAR
73,214,3.0,313.33,74.58,0.0,4.08,GOMITAS ENCHILADAS
74,215,3.0,318.52,55.17,6.82,9.07,"GORDITAS DE NATA, PREPARACION ESTANDARIZADA"
75,216,3.0,34.61,0.0,0.0,8.66,"GRENETINA, EN POLVO"
76,217,3.0,147.05,24.3,4.69,1.91,"HELADO CON GALLETA, SANDWICH (TIPO MORDIZCO)"
77,218,3.0,216.0,28.2,11.0,3.8,"HELADO, DE CHOCOLATE"
78,219,3.0,192.0,27.6,8.4,3.2,"HELADO, DE FRESA"
79,220,3.0,209.75,23.04,11.49,3.36,HELADO DE LECHE
80,221,3.0,207.0,23.6,11.0,3.5,"HELADO, DE VAINILLA"
81,222,3.0,276.66,54.16,0.0,0.0,"JALEA O ATE, DE FRUTAS (EXCEPTO MEMBRILLO)"
82,223,3.0,240.67,59.05,0.05,0.69,ATE DE MEMBRILLO
83,224,3.0,148.0,19.8,2.7,11.1,JALEA REAL
84,225,3.0,312.52,78.13,0.0,0.0,"JARABE, SABOR A MAPLE"
85,226,3.0,345.85,66.53,5.82,7.25,LECHE CONDENSADA
86,227,3.0,282.0,62.0,0.3,7.7,LECHE CONDENSADA REDUCIDA EN AZUCAR (LECHERA LIGHT)
87,228,3.0,394.4,69.3,10.11,6.25,"MALVAVISCO CUBIERTO DE CHOCOLATE (MALVABON, DE LA ROSA, ETC)"
88,229,3.0,510.0,65.0,22.5,12.5,"MAZAPAN, PROMEDIO"
89,230,3.0,285.0,71.0,0.1,0.0,MELAZA
90,231,3.0,197.33,49.33,0.0,0.0,"MERMELADA, DE MANZANA"
91,232,3.0,243.56,60.44,0.03,0.23,MERMELADA DE NARANJA
92,233,3.0,224.81,57.87,0.3,0.65,MERMELADA PROMEDIO (EXCEPTO NARANJA O MANZANA)
93,234,3.0,130.53,32.46,0.0,0.0,MERMELADA REDUCIDA EN CALORÍAS (TODOS LOS SABORES)
94,235,3.0,320.16,78.61,0.0,0.15,"MIEL, DE ABEJA"
95,236,3.0,294.0,72.6,0.2,0.5,"MIEL, DE CAÑA"
96,237,3.0,283.0,76.79,0.2,0.0,"MIEL, DE MAIZ"
97,238,3.0,260.0,67.04,0.06,0.04,"MIEL, DE MAPLE"
98,239,3.0,124.5,14.11,5.45,4.2,"NATILLA (TODOS SABORES), PREPARACION ESTANDARIZADA"
99,240,3.0,86.72,20.03,0.33,0.67,NIEVE DE FRUTAS
100,241,3.0,43.89,10.45,0.36,0.43,"NIEVE DE FRUTAS CON CHAMOY Y CHILE EN POLVO, PREPARACION ESTANDARIZADA"
101,242,3.0,514.85,52.61,29.42,9.89,NUEZ O CACAHUATES CUBIERTOS DE CHOCOLATE
102,243,3.0,365.0,89.08,0.0,2.17,NUTRA SWEET
103,244,3.0,369.29,77.68,2.92,7.87,OBLEAS CON CAJETA
104,245,3.0,414.21,46.25,24.3,5.8,"PALANQUETA CASERA, PREPARACION ESTANDARIZADA"
105,246,3.0,71.7,18.81,0.0,0.0,"PALETA DE HIELO, DE AGUA (TODOS SABORES)"
106,247,3.0,260.67,34.94,12.65,1.62,"PALETA DE HIELO, DE LECHE SIN COBERTURA"
107,248,3.0,238.09,22.02,15.15,3.4,"PALETA DE HIELO, DE LECHE Y COBERTURA DE CHOCOLATE (TIPO MAGNUM)"
108,249,3.0,364.44,67.66,10.27,4.11,"PALETA PAYASO, RICOLINO"
109,250,3.0,299.0,79.18,0.46,3.07,PASAS
110,251,3.0,440.0,64.2,19.08,3.85,PASAS CUBIERTAS CON CHOCOLATE
111,252,3.0,399.85,33.14,27.62,7.37,"PAY DE FRUTAS (REBANADA), PREPARACION ESTANDARIZADA"
112,253,3.0,293.83,33.31,13.71,7.4,"PAY DE QUESO (REBANADA), PREPARACION ESTANDARIZADA"
113,254,3.0,23.95,5.97,0.11,0.58,"PEPINO CON CHAMOY Y POLVITO AZUCARADO (TIPO MIGUELITO), PREPARACION ESTANDARIZADA"
114,255,3.0,375.0,93.8,0.0,0.0,PILONCILLO
115,256,3.0,321.0,79.0,0.0,1.3,QUESO DE TUNA
116,257,3.0,89.26,17.98,0.91,0.47,RASPADO (PROMEDIO)
117,258,3.0,336.0,91.17,0.0,0.0,SPLENDA
118,259,3.0,348.0,90.0,0.0,0.0,SUCRALOSA (CANDEREL-SUCARÉ) C/DEXTROSA
119,260,3.0,392.0,92.0,0.0,0.0,SUCRALOSA (NUTRA LIGHT)
120,261,3.0,0.0,0.0,0.0,0.0,SUCRALOSA (SPLENDA ORIGINAL LÍQUIDO)
121,262,3.0,126.6,31.48,0.24,0.33,"TEJOCOTES EN DULCE, PREPARACION ESTANDARIZADA"
122,263,3.0,492.33,58.54,27.13,4.87,"TLAXCAL DULCE, PREPARACION ESTANDARIZADA"
123,264,4.0,567.0,54.54,36.54,5.46,"CHEETOS O SIMILARES, BOTANA SABOR QUESO"
124,265,4.0,513.71,63.61,34.0,6.85,"CHICHARRON DE HARINA (SABRITONES, TOTIS)"
125,266,4.0,192.93,8.24,15.56,7.97,"CHICHARRON DE HARINA PREPARADO CON CUERITOS Y VERDURA, PREPARACION ESTANDARIZADA"
126,267,4.0,139.14,18.47,6.15,2.67,"DORILOCOS (FRITURAS DE MAIZ CON VERDURA, CREMA, QUESO, CUERITOS, ETC), PREPARACION ESTANDARIZADA"
127,268,4.0,497.96,66.26,26.7,1.73,"FRITURA DE FRUTAS Y VERDURAS (PLATANOS, MANZANAS, ETC)"
128,269,4.0,502.71,55.69,27.06,6.69,"FRITURAS DE MAIZ PROMEDIO (FRITOS, DORITOS, ETC.)"
129,270,4.0,519.0,60.81,27.42,7.36,FRITURAS DE MAIZ SABOR NACHOS
130,271,4.0,445.0,71.6,15.2,8.7,FRITURAS DE MAIZ SABOR QUESO BAJO EN GRASA
131,272,4.0,387.0,77.78,4.54,12.94,PALOMITAS DE MAÍZ DE AIRE (SIN ACEITE)
132,273,4.0,472.25,54.74,24.99,8.48,PALOMITAS DE MAIZ PROMEDIO (INDUSTRIALIZADAS Y CASERAS)
133,274,4.0,476.61,59.76,24.46,4.35,PAPAS (STICKS TODAS MARCAS)
134,275,4.0,516.03,52.98,31.33,6.09,"PAPAS EN HOJUELAS (TODAS MARCAS: SABRITAS, BARCEL, ETC.)"
135,276,4.0,457.0,68.26,15.2,11.79,PITA CHIPS
136,277,4.0,384.0,80.39,2.93,10.04,PRETZELS
137,278,5.0,7.58,1.89,0.03,0.16,"AGUA / LICUADO DE FRUTAS SIN AZUCAR Y SIN LECHE, PREPARACION ESTANDARIZADA"
138,279,5.0,36.19,8.27,0.24,0.42,"AGUA DE AVENA, PREPARACION ESTANDARIZADA"
139,280,5.0,18.0,4.24,0.0,0.22,AGUA DE COCO INDUSTRIALIZADA
140,281,5.0,19.0,3.71,0.2,0.72,"AGUA DE COCO, NATURAL"
141,282,5.0,66.24,8.08,3.22,1.4,"AGUA DE FRESA CON CREMA, PREPARACION ESTANDARIZADA"
142,283,5.0,32.03,6.83,0.42,0.44,"AGUA DE FRUTAS (PROMEDIO), PREPARACION ESTANDARIZADA"
143,284,5.0,4.77,1.19,0.0,0.0,"AGUA DE FRUTAS, INDUSTRIALIZADA (FRUTSI, PAU PAU)"
144,285,5.0,10.42,2.07,0.16,0.18,"AGUA DE GUAYABA SIN AZUCAR, PREPARACION ESTANDARIZADA"
145,286,5.0,22.5,5.34,0.12,0.13,"AGUA DE GUAYABA, PREPARACION ESTANDARIZADA"
146,287,5.0,71.5,13.13,1.85,1.06,"AGUA DE HORCHATA, INDUSTRIALIZADA"
147,288,5.0,72.27,14.65,0.69,1.41,"AGUA DE HORCHATA, PREPARACION ESTANDARIZADA"
148,289,5.0,16.62,3.5,0.03,0.33,"AGUA DE JAMAICA SIN AZUCAR, PREPARACION ESTANDARIZADA"
149,290,5.0,25.21,6.14,0.01,0.16,"AGUA DE JAMAICA, PREPARACION ESTANDARIZADA"
150,291,5.0,10.6,3.72,0.07,0.25,"AGUA DE LIMON SIN AZUCAR, PREPARACION ESTANDARIZADA"
151,292,5.0,25.61,7.48,0.06,0.22,"AGUA DE LIMON, PREPARACION ESTANDARIZADA"
152,293,5.0,6.27,1.39,0.02,0.13,"AGUA DE MELON SIN AZUCAR, PREPARACION ESTANDARIZADA"
153,294,5.0,18.77,4.65,0.02,0.11,"AGUA DE MELON, PREPARACION ESTANDARIZADA"
154,295,5.0,27.51,5.67,0.25,0.63,"AGUA DE NARANJA SIN AZUCAR, PREPARACION ESTANDARIZADA"
155,296,5.0,35.81,7.9,0.24,0.6,"AGUA DE NARANJA, PREPARACION ESTANDARIZADA"
156,297,5.0,9.51,2.19,0.02,0.14,"AGUA DE PAPAYA SIN AZUCAR, PREPARACION ESTANDARIZADA"
157,298,5.0,21.97,5.45,0.02,0.11,"AGUA DE PAPAYA, PREPARACION ESTANDARIZADA"
158,299,5.0,7.35,1.93,0.02,0.08,"AGUA DE PINA SIN AZUCAR, PREPARACION ESTANDARIZADA"
159,300,5.0,20.2,5.24,0.01,0.06,"AGUA DE PINA, PREPARACION ESTANDARIZADA"
160,301,5.0,27.83,7.06,0.0,0.1,"AGUA DE SABOR PREPARADA CON POLVO Y AZUCAR, PREPARACION ESTANDARIZADA"
161,302,5.0,0.0,0.0,0.0,0.0,AGUA DEL GRIFO HERVIDA
162,303,5.0,0.0,0.0,0.0,0.0,AGUA DEL GRIFO SIN HERVIR
163,304,5.0,0.0,0.0,0.0,0.0,"AGUA DEL MANANTIAL, RIO, OJO DE AGUA HERVIDA"
164,305,5.0,0.0,0.0,0.0,0.0,"AGUA DEL MANANTIAL, RIO, OJO DE AGUA SIN HERVIR"
165,306,5.0,0.0,0.0,0.0,0.0,AGUA EMBOTELLADA O GARRAFON
166,307,5.0,0.0,0.0,0.0,0.0,AGUA MINERAL
167,308,5.0,0.0,0.0,0.0,0.0,AGUA PARA BEBE (GERBER)
168,309,5.0,4.0,0.9,0.0,0.04,"AGUA PREPARADA CON CLIGHT, PREPARACION ESTANDARIZADA"
169,310,5.0,40.0,10.0,0.0,0.0,AGUA QUINA
170,311,5.0,13.47,3.37,0.0,0.0,AGUA SABORIZADA LIGHT O BAJA EN AZUCAR (LEVITE)
171,312,5.0,0.0,0.0,0.0,0.0,AGUA SOLA
172,313,5.0,128.91,20.11,3.53,4.27,"ATOLE  DE  AVENA CON LECHE, PREPARACION ESTANDARIZADA"
173,314,5.0,36.53,8.8,0.15,0.36,"ATOLE  DE CIRUELA SIN LECHE, PREPARACION ESTANDARIZADA"
174,315,5.0,83.6,11.53,2.93,2.87,"ATOLE  DE VAINILLA CON LECHE, PREPARACION ESTANDARIZADA"
175,316,5.0,85.21,16.33,1.49,1.99,"ATOLE (CUALQUIER TIPO), PREPARACION ESTANDARIZADA"
176,317,5.0,83.99,16.06,1.53,1.96,ATOLE (PROMEDIO)
177,318,5.0,29.18,6.71,0.31,0.8,"ATOLE AGRIO SIN LECHE, PREPARACION ESTANDARIZADA"
178,319,5.0,57.01,13.18,0.31,0.37,"ATOLE CHAMPURRADO SIN LECHE, PREPARACION ESTANDARIZADA"
179,320,5.0,173.31,35.89,2.86,2.1,ATOLE DE AGUA DE PINOLE
180,321,5.0,100.41,16.51,3.19,2.15,ATOLE DE AJONJOLI (CON LECHE)
181,322,5.0,78.02,14.65,2.06,0.96,ATOLE DE AJONJOLI (SIN LECHE)
182,323,5.0,147.02,31.03,1.51,2.09,"ATOLE DE ARROZ CON LECHE, PREPARACION ESTANDARIZADA"
183,324,5.0,34.36,8.39,0.04,0.28,"ATOLE DE ARROZ SIN LECHE, PREPARACION ESTANDARIZADA"
184,325,5.0,20.11,3.5,0.37,0.65,"ATOLE DE AVENA CON AGUA SIN AZUCAR, PREPARACION ESTANDARIZADA"
185,326,5.0,65.48,14.87,0.43,0.76,"ATOLE DE AVENA SIN LECHE, PREPARACION ESTANDARIZADA"
186,327,5.0,104.96,18.54,3.0,2.01,ATOLE DE CACAHUATE (SIN LECHE)
187,328,5.0,121.21,28.36,0.47,0.94,"ATOLE DE CAMOTE SIN LECHE, PREPARACION ESTANDARIZADA"
188,329,5.0,28.89,7.28,0.0,0.02,"ATOLE DE CAPULIN SIN LECHE, PREPARACION ESTANDARIZADA"
189,330,5.0,129.6,21.75,3.34,3.38,"ATOLE DE CHOCOLATE CON LECHE, PREPARACION ESTANDARIZADA"
190,331,5.0,84.9,21.62,0.16,0.48,"ATOLE DE CIRUELA PASA SIN LECHE, PREPARACION ESTANDARIZADA"
191,332,5.0,124.1,11.75,7.66,3.01,"ATOLE DE COCO CON LECHE, PREPARACION ESTANDARIZADA"
192,333,5.0,86.11,14.47,2.31,3.0,"ATOLE DE ELOTE CON CHILE Y LECHE, PREPARACION ESTANDARIZADA"
193,334,5.0,116.06,18.5,3.28,3.75,"ATOLE DE ELOTE SIN LECHE, PREPARACION ESTANDARIZADA"
194,335,5.0,88.86,13.03,2.87,2.82,"ATOLE DE FRESA CON LECHE, PREPARACION ESTANDARIZADA"
195,336,5.0,92.52,20.56,0.22,2.27,"ATOLE DE FRIJOL SIN LECHE, PREPARACION ESTANDARIZADA"
196,337,5.0,78.11,16.52,0.58,1.97,"ATOLE DE GARBANZO SIN LECHE, PREPARACION ESTANDARIZADA"
197,338,5.0,56.89,8.98,1.61,1.59,"ATOLE DE GUAYABA CON LECHE, PREPARACION ESTANDARIZADA"
198,339,5.0,179.81,42.61,0.7,1.83,"ATOLE DE JOBO (ATOLE BLANCO) SIN LECHE, PREPARACION ESTANDARIZADA"
199,340,5.0,89.14,13.88,2.71,2.68,"ATOLE DE LIMON CON LECHE, PREPARACION ESTANDARIZADA"
200,341,5.0,146.69,26.34,3.1,3.8,"ATOLE DE MAIZ CON LECHE, PREPARACION ESTANDARIZADA"
201,342,5.0,76.4,15.77,0.94,1.77,"ATOLE DE MAIZ SIN LECHE, PREPARACION ESTANDARIZADA"
202,343,5.0,80.29,11.78,2.6,2.55,"ATOLE DE MAIZENA CON LECHE, PREPARACION ESTANDARIZADA"
203,344,5.0,31.36,7.94,0.0,0.0,"ATOLE DE MAIZENA SIN LECHE, PREPARACION ESTANDARIZADA"
204,345,5.0,108.97,18.44,2.83,2.99,ATOLE DE MASA CON LECHE
205,346,5.0,21.07,5.26,0.04,0.08,ATOLE DE MASA SIN LECHE
206,347,5.0,81.39,19.58,0.19,0.34,"ATOLE DE MASA SIN LECHE, PREPARACION ESTANDARIZADA"
207,348,5.0,43.59,9.72,0.41,0.5,"ATOLE DE PINA CON LECHE, PREPARACION ESTANDARIZADA"
208,349,5.0,90.59,18.87,1.34,0.79,"ATOLE DULCE CON CHILE SIN LECHE, PREPARACION ESTANDARIZADA"
209,350,5.0,71.0,12.6,1.38,1.98,BEBIDA DE CAFE  INDUSTRIALIZADA
210,351,5.0,85.43,16.13,2.02,0.74,"BEBIDA DE CHOCOLATE CON AGUA (SIN MASA, NI MAICENA), PREPARACION ESTANDARIZADA"
211,352,5.0,27.97,5.44,0.41,0.61,"BEBIDA DE SOYA ENDULZADA (TIPO ADES), INDUSTRIALIZADA"
212,353,5.0,45.68,11.42,0.0,0.0,"BEBIDA EMBOTELLADA SABOR NARANJA Y TORONJA (NO JUGO), SIN GAS"
213,354,5.0,37.42,9.36,0.0,0.0,"BEBIDA EMBOTELLADA SABOR UVA (NO JUGO), SIN GAS"
214,355,5.0,43.1,10.65,0.02,0.07,"BEBIDA ENERGETICA (TIPO RED BULL, BOOST, MONSTER)"
215,356,5.0,22.5,5.62,0.0,0.0,"BEBIDA REHIDRATANTE (GATORADE, POWERADE)"
216,357,5.0,40.4,10.4,0.0,0.02,BEBIDAS O AGUAS DE SABOR CON AZUCAR ADICIONADA (INDUSTRIALIZADAS)
217,358,5.0,0.0,0.0,0.0,0.0,BEBIDAS O AGUAS DE SABOR SIN AZUCAR ADICIONADA
218,359,5.0,49.26,8.06,1.4,1.52,"CAFE CAPUCCINO, PREPARACION ESTANDARIZADA"
219,360,5.0,22.5,5.23,0.01,0.35,CAFE CON AZUCAR
220,361,5.0,394.45,68.5,9.05,9.75,"CAFE CON AZUCAR, EN POLVO"
221,362,5.0,50.8,8.28,1.39,1.48,"CAFE CON LECHE CON AZUCAR, PREPARACION ESTANDARIZADA"
222,363,5.0,33.33,3.19,1.55,1.65,"CAFE CON LECHE SIN AZUCAR, PREPARACION ESTANDARIZADA"
223,364,5.0,0.0,0.0,0.0,0.1,"CAFE DE GRANO DESCAFEINADO, PREPARADO CON AGUA"
224,365,5.0,226.0,63.4,14.8,12.6,CAFE DE GRANO EN POLVO
225,366,5.0,2.0,0.34,0.0,0.1,"CAFE DILUIDO SIN AZUCAR, INDUSTRIALIZADO"
226,367,5.0,7.2,1.54,0.01,0.25,"CAFE DILUIDO SIN AZUCAR, PREPARACION ESTANDARIZADA"
227,368,5.0,295.15,64.53,2.15,12.91,"CAFE ENRIQUECIDO, EN POLVO"
228,369,5.0,286.22,61.14,0.41,9.89,"CAFE EXPRESSO, PREPARACION ESTANDARIZADA"
229,370,5.0,67.0,13.4,0.93,1.53,"CAFE FRAPPE (MOKA, CAPUCCINO, C/ CHANTILLI, ETC.), PREPARACION ESTANDARIZADA"
230,371,5.0,2.0,0.43,0.0,0.12,"CAFE INSTANTANEO DESCAFEINADO, PREPARADO CON AGUA"
231,372,5.0,353.0,75.4,0.5,12.2,"CAFE INSTANTANEO, EN POLVO (TIPO NESCAFE CLASICO)"
232,373,5.0,10.69,2.63,0.0,0.1,"CAFE O TE CON AZUCAR, PREPARACION ESTANDARIZADA"
233,374,5.0,15.0,3.67,0.01,0.12,CAFE PROMEDIO (CON AZUCAR Y SIN AZUCAR)
234,375,5.0,41.0,10.6,0.0,0.0,CERVEZA DE RAIZ (SIN ALCOHOL)
235,376,5.0,94.13,11.05,2.78,2.73,"ESQUIMO CASERO (TODOS SABORES), PREPARACION ESTANDARIZADA"
236,377,5.0,55.67,5.67,3.0,1.92,"FORMULA LACTEA ENTERA (TIPO NUTRILECHE), FLUIDA"
237,378,5.0,100.0,13.38,4.58,2.5,"FRAPE DE FRUTAS CON LECHE, HELADO O YOGURT (SMOOTHIE), INDUSTRIALIZADO"
238,379,5.0,45.44,9.39,0.55,0.94,"FRAPPE DE FRUTAS, SIN LECHE (TODOS SABORES), INDUSTRIALIZADO"
239,380,5.0,61.43,10.2,1.92,1.1,"FRAPUCCINO (PROMEDIO), PREPARACI�N ESTANDARIZADA"
240,381,5.0,60.43,11.15,1.39,1.1,"FRAPUCCINO C/CHOCOLATE LECHE LIGHT, PREPARACION ESTANDARIZADA"
241,382,5.0,68.24,11.22,2.18,1.19,"FRAPUCCINO C/CHOCOLATE REGULAR, PREPARACION ESTANDARIZADA"
242,383,5.0,54.15,9.17,1.62,1.01,"FRAPUCCINO DE CAF� C/LECHE LIGHT, PREPARACION ESTANDARIZADA"
243,384,5.0,62.89,9.25,2.5,1.11,"FRAPUCCINO DE CAF� REGULAR, PREPARACION ESTANDARIZADA"
244,385,5.0,0.0,0.0,0.0,0.0,HIELO EN CUBOS
245,386,5.0,289.1,58.22,2.96,1.51,JARABES DE SABORES (CONCENTRADOS PARA AGUA DE SABOR)
246,387,5.0,59.4,14.28,0.18,0.25,"JUGO DE ARANDANO, INDUSTRIALIZADO"
247,388,5.0,6.35,1.39,0.01,0.12,"JUGO DE ARROZ, PREPARACION ESTANDARIZADA"
248,389,5.0,36.13,9.05,0.05,0.77,"Jugo betabel con azúcar, natural"
249,390,5.0,20.87,5.1,0.05,0.8,"JUGO DE BETABEL, NATURAL"
250,391,5.0,84.0,20.5,0.1,0.3,"JUGO DE CAÑA DE AZUCAR, NATURAL"
251,392,5.0,60.42,15.24,0.0,0.13,"JUGO DE CIRUELA PASA, INDUSTRIALIZADO"
252,393,5.0,35.24,8.85,0.0,0.14,"JUGO DE FRUTA CON VERDURA, INDUSTRIALIZADO (TIPO CHISPAZO)"
253,394,5.0,46.0,11.15,0.01,0.3,"JUGO DE FRUTA CON VERDURA, NATURAL"
254,395,5.0,60.21,14.85,0.01,0.29,"Jugo de frutas con verduras con azúcar, natural"
255,396,5.0,50.91,12.64,0.11,0.13,"JUGO DE FRUTAS, INDUSTRIALIZADO (TIPO BOING, DEL VALLE, SONRISA Y JUMEX)"
